,champion_f_score,config_id,crossover_method,log_file,mutation_method,mutation_probability,num_protected_elite_models,number_generations,number_possible_models,number_sites,number_terms,resources,selection_method,starting_population_size,unchanged_elite_num_generations_cutoff,relative_resources,ResourceRequirement,true_found
49,1.0,1.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,16.0,268435456.0,8.0,28.0,2176.0,roulette,16.0,3.0,0.06439393939393939,low,True
50,1.0,2.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,16.0,268435456.0,8.0,28.0,8448.0,roulette,32.0,3.0,0.25,low,True
51,1.0,6.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,64.0,268435456.0,8.0,28.0,33792.0,roulette,32.0,3.0,1.0,high,True
52,1.0,3.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,32.0,268435456.0,8.0,28.0,4352.0,roulette,16.0,3.0,0.12878787878787878,low,True
53,1.0,5.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,64.0,268435456.0,8.0,28.0,8704.0,roulette,16.0,3.0,0.25757575757575757,medium-low,True
54,1.0,2.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,16.0,268435456.0,8.0,28.0,8448.0,roulette,32.0,3.0,0.25,low,True
55,0.9655172413793104,4.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,32.0,268435456.0,8.0,28.0,16896.0,roulette,32.0,3.0,0.5,medium-high,False
56,1.0,6.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,64.0,268435456.0,8.0,28.0,33792.0,roulette,32.0,3.0,1.0,high,True
57,1.0,2.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,16.0,268435456.0,8.0,28.0,8448.0,roulette,32.0,3.0,0.25,low,True
58,1.0,4.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,32.0,268435456.0,8.0,28.0,16896.0,roulette,32.0,3.0,0.5,medium-high,True
59,1.0,6.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,64.0,268435456.0,8.0,28.0,33792.0,roulette,32.0,3.0,1.0,high,True
